season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,L,7-5,20230214_kdbi,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,11-0,20230214_xktu,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,12-1,20230220_g0pc,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,6-2,20230220_wtu6,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Wallace-Dothan,L,7-5,20230218_oxdq,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Wallace-Dothan,L,7-6,20230313_qwhw,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Wallace-Dothan,W,10-5,20230313_wvw3,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Allen County,allencountycommunitycollege,home,Crowder,L,2-0,20230421_1rkn,35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,35.0,0.0
2023,div1,Allen County,allencountycommunitycollege,home,Northwest-Shoals Community College,W,8-6,20230217_78uj,35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,70.0,105.0
2023,div1,Allen County,allencountycommunitycollege,home,Pensacola State,W,16-13,20230203_tx6j,35,0.0,35.0,0.0,0.0,1.0,0.0,70.0,70.0,1.0,140.0,0.0
2023,div1,Allen County,allencountycommunitycollege,home,Southwest Mississippi,W,8-7,20230210_sg8h,35,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,,105.0,70.0
2023,div1,Allen County,allencountycommunitycollege,home,St. Louis,L,5-1,20230330_d5an,35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Allen County,allencountycommunitycollege,home,St. Louis,W,10-6,20230401_k3nt,35,0.0,0.0,0.0,0.0,,70.0,140.0,140.0,1.0,70.0,0.0
2023,div1,Allen County,allencountycommunitycollege,home,UHSP,W,9-3,20230404_mwij,35,35.0,35.0,0.0,0.0,1.0,70.0,105.0,105.0,1.0,70.0,140.0
2023,div1,Allen County,allencountycommunitycollege,home,Williams Baptist University JV,W,10-0,20230228_iaio,35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,35.0,70.0
2023,div1,Alvin,alvincommunitycollege,home,ASU Mountain Home,W,16-3,20230127_5w91,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Alvin,alvincommunitycollege,home,ASU Mountain Home,W,17-11,20230127_c2tv,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Alvin,alvincommunitycollege,home,Angelina,L,13-3,20230225_te2r,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Alvin,alvincommunitycollege,home,Angelina,L,4-3,20230225_d4t8,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Alvin,alvincommunitycollege,home,Angelina,W,8-3,20230313_kau1,18,1.0,0.0,0.0,0.0,,9.0,3.0,1.0,0.333,2.0,7.0
2023,div1,Alvin,alvincommunitycollege,home,Angelina,W,9-8,20230327_1ij5,19,1.0,1.0,0.0,0.0,1.0,11.0,8.0,6.0,0.75,6.0,10.0
2023,div1,Alvin,alvincommunitycollege,home,Blinn,L,12-5,20230401_es6r,13,1.0,0.0,1.0,0.0,1.0,7.0,12.0,11.0,0.917,11.0,9.0
