season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,div1,Allen County,allencountycommunitycollege,jackharristeoj,Jack Harris,7,15.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.6,0.4,1.0,90.0,0.0,1.0,0.556,0.0,0.4,0.2,0.2,0.5
2023,div1,Allen County,allencountycommunitycollege,jackneillpy33,Jack Neill,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,jakegallowayh9b1,Jake Galloway,3,10.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.222,0.3,0.667,0.967,87.0,0.0,0.25,0.0,0.1,0.4,0.0,0.4,0.0
2023,div1,Allen County,allencountycommunitycollege,jaxonbevenruaj,Jaxon Beven,3,10.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.222,0.3,0.667,0.967,87.0,0.0,0.25,0.0,0.1,0.4,0.0,0.4,0.0
2023,div1,Allen County,allencountycommunitycollege,johnjamesujsm,John James,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,karsonleebzlq,Karson Lee,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,kyleklewenoynqj,Kyle Kleweno,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,landonmcginness1ese,Landon McGinness,4,10.0,9.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.222,0.3,0.444,0.744,67.0,0.111,0.222,0.667,0.0,0.0,0.1,-0.1,
2023,div1,Allen County,allencountycommunitycollege,landonvolnerng95,Landon Volner,3,10.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.222,0.3,0.667,0.967,87.0,0.0,0.25,0.0,0.1,0.4,0.0,0.4,0.0
2023,div1,Allen County,allencountycommunitycollege,lukepetrieaqra,Luke Petrie,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,nicbeseckert24g,Nic Besecker,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,noestroersdgb,Noe Stroer,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,patrickmulliganbi98,Patrick Mulligan,11,41.0,26.0,8.0,7.0,1.0,0.0,1.0,8.0,5.0,0.0,6.0,7.0,11.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,,0.269,0.39,0.5,0.89,80.0,0.038,0.286,0.467,0.024,0.171,0.146,0.025,0.857
2023,div1,Allen County,allencountycommunitycollege,reedjensen5exo,Reed Jensen,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,rhettjaggersb0e6,Rhett Jaggers,6,19.0,10.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,6.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.1,0.526,0.3,0.826,74.0,0.1,0.2,0.2,0.0,0.263,0.316,-0.053,1.2
2023,div1,Alvin,alvincommunitycollege,angelacostawh9s,Angel Acosta,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Alvin,alvincommunitycollege,brycebergeronc0m7,Bryce Bergeron,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Alvin,alvincommunitycollege,calebgarciarameaum9zf,Caleb Garcia-Rameau,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
