season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,Ridgewater,ridgewatercollege,103,8.0,4.0,4.0,0.0,1.0,67.0,61.0,48.0,0.787,40.769999999999996,43.0
2024,2023-24,Riverland,riverlandcommunitycollege,146,12.0,7.0,1.0,0.0,1.0,84.0,69.0,58.0,0.841,70.32,48.0
2024,2023-24,Roane State,roanestatecommunitycollege,537,34.0,3.0,10.0,3.0,0.812,275.0,204.0,168.0,0.824,228.32,157.0
2024,2023-24,Rochester,rochestercommunityandtechnicalcolleg,174,12.0,6.0,6.0,3.0,0.8,85.0,64.0,62.0,0.969,79.58,40.0
2024,2023-24,Rock Valley,rockvalleycollege,268,20.0,12.0,7.0,3.0,0.864,123.0,89.0,65.0,0.73,94.76,64.0
2024,2023-24,Rockingham,rockinghamcommunitycollege,394,30.0,4.0,9.0,1.0,0.929,272.0,224.0,165.0,0.737,203.93,142.0
2024,2023-24,Rockland,rocklandcommunitycollege,279,4.0,3.0,16.0,2.0,0.905,185.0,194.0,141.0,0.727,152.98,103.0
2024,2023-24,Rose State,rosestatecollege,353,27.0,13.0,14.0,3.0,0.9,191.0,174.0,123.0,0.707,185.55,136.0
2024,2023-24,Roxbury,roxburycommunitycollege,31,2.0,0.0,3.0,0.0,1.0,33.0,35.0,30.0,0.857,25.9,22.0
2024,2023-24,SUNY Adirondack,sunyadirondack,192,13.0,6.0,7.0,1.0,0.929,75.0,72.0,54.0,0.75,55.6,58.0
2024,2023-24,SUNY Broome,sunybroomecommunitycollege,47,2.0,1.0,2.0,0.0,1.0,20.0,22.0,13.0,0.591,24.13,23.0
2024,2023-24,Salem,salemcommunitycollege,210,0.0,5.0,5.0,0.0,1.0,71.0,91.0,59.0,0.648,96.52,98.0
2024,2023-24,Salt Lake,saltlakecommunitycollege,414,30.0,27.0,3.0,7.0,0.811,163.0,81.0,56.0,0.691,110.65,97.0
2024,2023-24,San Jacinto,sanjacintocollegenorth,391,28.0,14.0,11.0,7.0,0.781,203.0,184.0,128.0,0.696,239.61,193.0
2024,2023-24,Santa Fe,santafecollege,431,9.0,18.0,13.0,5.0,0.861,247.0,190.0,144.0,0.758,252.23,183.0
2024,2023-24,Sauk Valley,saukvalleycommunitycollege,166,4.0,6.0,4.0,2.0,0.833,89.0,70.0,45.0,0.643,65.03,37.0
2024,2023-24,Schoolcraft,schoolcraftcollege,289,25.0,12.0,9.0,4.0,0.84,173.0,163.0,111.0,0.681,137.23,112.0
2024,2023-24,Scottsdale,scottsdalecommunitycollege,403,30.0,14.0,16.0,3.0,0.909,250.0,176.0,122.0,0.693,168.79,113.0
2024,2023-24,Seminole State (FL),seminolestatecollegeofflorida,472,32.0,15.0,13.0,3.0,0.903,249.0,193.0,157.0,0.813,189.66,107.0
2024,2023-24,Seminole State (OK),seminolestatecollegeok,426,27.0,15.0,14.0,1.0,0.967,188.0,142.0,120.0,0.845,127.69,118.0
2024,2023-24,Seward County,sewardcountycommunitycollege,356,29.0,15.0,13.0,1.0,0.966,247.0,187.0,157.0,0.84,123.69,92.0
2024,2023-24,Shawnee,shawneecommunitycollege,180,3.0,4.0,7.0,1.0,0.917,103.0,97.0,72.0,0.742,84.42,45.0
2024,2023-24,Shelton State,sheltonstatecommunitycollege,364,24.0,13.0,13.0,4.0,0.867,198.0,144.0,124.0,0.861,136.59,87.0
2024,2023-24,Snead State,sneadstatecommunitycollege,395,28.0,17.0,10.0,3.0,0.9,226.0,158.0,121.0,0.766,161.63,99.0
2024,2023-24,South Florida State,southfloridastatecollege,471,33.0,15.0,16.0,6.0,0.838,314.0,253.0,182.0,0.719,308.92,137.0
2024,2023-24,South Georgia State,southgeorgiastatecollege,481,7.0,12.0,13.0,3.0,0.893,248.0,184.0,127.0,0.69,257.57,129.0
2024,2023-24,South Mountain,southmountaincommunitycollege,499,34.0,17.0,16.0,6.0,0.846,258.0,146.0,127.0,0.87,155.1,124.0
2024,2023-24,South Suburban,southsuburbancollege,316,23.0,12.0,12.0,4.0,0.857,183.0,142.0,100.0,0.704,151.45,89.0
2024,2023-24,Southeast,southeastcommunitycollege,342,16.0,8.0,8.0,2.0,0.889,150.0,148.0,113.0,0.764,194.3,86.0
2024,2023-24,Southeast Arkansas College,southeastarkansascollege,483,27.0,17.0,17.0,6.0,0.85,253.0,193.0,152.0,0.788,213.26,146.0
2024,2023-24,Southeastern,southeasterncommunitycollege,347,26.0,19.0,5.0,6.0,0.8,208.0,133.0,108.0,0.812,188.51,106.0
2024,2023-24,Southeastern Illinois,southeasternillinoiscollege,392,22.0,4.0,15.0,0.0,1.0,245.0,229.0,190.0,0.83,224.75,136.0
2024,2023-24,Southeastern-Whiteville,southeasterncommunitycollegewhitevill,310,12.0,5.0,15.0,1.0,0.952,170.0,171.0,142.0,0.83,182.17,123.0
2024,2023-24,Southern Arkansas University Tech,southernarkansasuniversitytech,261,7.0,9.0,11.0,6.0,0.769,153.0,173.0,123.0,0.711,131.71,113.0
2024,2023-24,Southern Idaho,collegeofsouthernidaho,431,14.0,14.0,11.0,4.0,0.862,156.0,133.0,105.0,0.789,190.77,123.0
2024,2023-24,Southern Maryland,collegeofsouthernmaryland,323,22.0,6.0,16.0,2.0,0.917,229.0,222.0,155.0,0.698,230.3,133.0
2024,2023-24,Southern Nevada,collegeofsouthernnevada,460,29.0,22.0,7.0,3.0,0.906,161.0,89.0,75.0,0.843,123.64,103.0
2024,2023-24,Southern Union State,southernunionstatecommunitycollege,353,25.0,14.0,4.0,4.0,0.818,204.0,134.0,115.0,0.858,175.55,94.0
2024,2023-24,Southwest Mississippi,southwestmississippicommunitycollege,480,35.0,14.0,20.0,6.0,0.85,244.0,213.0,168.0,0.789,247.31,207.0
2024,2023-24,Southwest Tennessee,southwesttennesseecommunitycollege,479,38.0,18.0,17.0,15.0,0.7,295.0,233.0,167.0,0.717,226.16,165.0
2024,2023-24,Southwest Virginia,southwestvirginia,360,26.0,0.0,12.0,0.0,1.0,297.0,430.0,340.0,0.791,424.56,241.0
2024,2023-24,Southwestern,southwesterncommunitycollege,343,26.0,8.0,18.0,5.0,0.839,259.0,222.0,150.0,0.676,215.61,113.0
2024,2023-24,Southwestern Illinois,southwesternillinoiscollege,410,27.0,14.0,13.0,3.0,0.9,219.0,203.0,137.0,0.675,221.43,141.0
2024,2023-24,Spartanburg Methodist,spartanburgmethodist,448,35.0,31.0,7.0,6.0,0.864,203.0,147.0,113.0,0.769,176.44,114.0
2024,2023-24,Spoon River,spoonrivercollege,296,0.0,12.0,11.0,5.0,0.821,184.0,183.0,141.0,0.77,185.19,131.0
2024,2023-24,St. Charles,stcharlescommunitycollege,368,1.0,17.0,7.0,1.0,0.96,166.0,131.0,91.0,0.695,139.53,110.0
2024,2023-24,St. Clair County,stclaircountycommunitycollege,137,13.0,3.0,10.0,1.0,0.929,95.0,125.0,90.0,0.72,106.63,81.0
