season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,div1,Cowley,cowleycountycommunitycollege,2010,2241.0,1823.0,527.0,630.0,106.0,35.0,52.0,478.0,75.0,22.0,307.0,319.0,962.0,49.0,37.0,25.0,193.0,12.0,86.0,70.0,1.229,0.346,0.44,0.634,1.074,113.0,0.391,0.509,0.023,0.142,0.137,0.005,0.962
2018,div1,Crowder,crowdercollege,2440,2296.0,1848.0,591.0,630.0,139.0,24.0,74.0,542.0,77.0,21.0,346.0,382.0,1039.0,55.0,19.0,28.0,237.0,3.0,47.0,37.0,1.27,0.341,0.449,0.69,1.139,120.0,0.392,0.54,0.032,0.166,0.151,0.015,0.906
2018,div1,Daytona State,daytonastatecollege,1125,1669.0,1375.0,306.0,406.0,71.0,10.0,20.0,261.0,76.0,6.0,184.0,277.0,557.0,70.0,27.0,13.0,101.0,26.0,0.0,0.0,,0.295,0.395,0.479,0.874,92.0,0.354,0.447,0.012,0.166,0.11,0.056,0.664
2018,div1,Delgado,delgadocommunitycollege,2257,1781.0,1460.0,370.0,448.0,80.0,15.0,31.0,338.0,49.0,18.0,229.0,321.0,651.0,64.0,9.0,19.0,126.0,1.0,29.0,26.0,1.115,0.307,0.416,0.532,0.948,100.0,0.37,0.477,0.017,0.18,0.129,0.051,0.713
2018,div1,Dodge City,dodgecitycommunitycollege,1960,2136.0,1786.0,494.0,594.0,138.0,16.0,73.0,448.0,33.0,9.0,234.0,381.0,983.0,69.0,23.0,24.0,227.0,31.0,404.0,370.0,1.092,0.333,0.42,0.677,1.097,115.0,0.384,0.511,0.034,0.178,0.11,0.068,0.614
2018,div1,Dyersburg State,dyersburgstatecommunitycollege,1820,1905.0,1565.0,435.0,525.0,92.0,10.0,41.0,377.0,73.0,9.0,189.0,280.0,760.0,90.0,29.0,32.0,143.0,27.0,250.0,251.0,0.996,0.335,0.422,0.577,0.999,105.0,0.379,0.516,0.022,0.147,0.099,0.048,0.675
2018,div1,East Georgia State,eastgeorgiacollege,1674,1840.0,1544.0,347.0,463.0,90.0,13.0,30.0,300.0,57.0,17.0,193.0,323.0,669.0,75.0,14.0,14.0,133.0,18.0,27.0,38.0,0.711,0.3,0.397,0.519,0.916,96.0,0.359,0.452,0.016,0.176,0.105,0.071,0.598
2018,div1,Eastern Arizona,easternarizonacollege,1425,1724.0,1502.0,200.0,414.0,54.0,10.0,5.0,171.0,100.0,14.0,168.0,374.0,503.0,26.0,20.0,8.0,69.0,0.0,16.0,17.0,0.941,0.276,0.353,0.381,0.734,77.0,0.362,0.323,0.003,0.217,0.097,0.12,0.449
2018,div1,Eastern Florida State,easternfloridastatecollege,1326,1832.0,1576.0,278.0,452.0,77.0,19.0,20.0,217.0,67.0,26.0,178.0,354.0,624.0,50.0,11.0,17.0,116.0,19.0,0.0,0.0,,0.287,0.371,0.471,0.842,88.0,0.354,0.391,0.011,0.193,0.097,0.096,0.503
2018,div1,Eastern Oklahoma State,easternoklahomastatecollege,2318,2239.0,1853.0,548.0,623.0,106.0,20.0,84.0,478.0,40.0,14.0,286.0,359.0,1018.0,70.0,10.0,20.0,210.0,0.0,0.0,0.0,,0.336,0.437,0.664,1.101,116.0,0.377,0.518,0.038,0.16,0.128,0.032,0.797
