season,njcaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,joshmontalban5j8v,Josh Montalban,3,0.0,0.0,0.0,0.0,,2.0,3.0,3.0,1.0,4.0,4.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,jrfordhamjtb6,J.R. Fordham,9,7.0,2.0,1.0,0.0,1.0,30.0,23.0,19.0,0.826,14.16,23.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,kentoncollier40va,Kenton Collier,25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,koleorshoski4c92,Kole Orshoski,2,0.0,0.0,0.0,0.0,,5.0,3.0,3.0,1.0,7.0,2.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,landonkight634f,Landon Kight,1,0.0,0.0,0.0,0.0,,4.0,5.0,5.0,1.0,9.0,2.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,lucasmoriciv3pc,Lucas Morici,9,6.0,3.0,4.0,0.0,1.0,44.0,27.0,25.0,0.926,13.77,20.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,lukenorman6bme,Luke Norman,4,2.0,0.0,2.0,0.0,1.0,10.0,14.0,10.0,0.714,14.33,4.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,matthewglassj8gp,Matthew Glass,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,michaelmorrisonlp7t,Michael Morrison,13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,quintenrawlsv484,Quinten Rawls,24,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,ryanvandinterp4wj,Ryan Van Dinter,5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,terrygarmonoc64,Terry Garmon,5,1.0,1.0,3.0,0.0,1.0,16.0,12.0,8.0,0.667,10.16,9.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,trypplumpkinga5f,Trypp Lumpkin,8,3.0,0.0,0.0,0.0,,16.0,15.0,13.0,0.867,12.3,25.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,tysonrobinson6hwh,Tyson Robinson,8,0.0,0.0,0.0,1.0,0.0,5.0,6.0,6.0,1.0,6.33,4.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,williamrichardspqbd,William Richards,6,0.0,0.0,1.0,1.0,0.5,7.0,13.0,13.0,1.0,16.61,12.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,wyatttalikt7ds,Wyatt Talik,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,angelsolivanxhil,Angel Solivan,2,0.0,0.0,0.0,0.0,,1.0,3.0,3.0,1.0,5.5,3.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,austinhenrichsumrc,Austin Henrichs,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,bradygoebelxted,Brady Goebel,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,bradysnellaitr,Brady Snell,2,0.0,0.0,0.0,0.0,,4.0,4.0,4.0,1.0,12.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,cadensanddwu6,Caden Sand,6,0.0,0.0,0.0,0.0,,7.0,2.0,2.0,1.0,3.8,1.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,calenoconnell683w,Calen O'Connell,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,carterlangquoi,Carter Lang,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,carterruschmeier16l3,Carter Ruschmeier,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,caseychambers888k,Casey Chambers,1,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,1.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,chuckhackett8lyd,Chuck Hackett,11,1.0,0.0,0.0,0.0,,2.0,2.0,2.0,1.0,2.0,4.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,devingutierrez4qbp,Devin Gutierrez,7,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,1.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,felixporras4gh8,Felix Porras,10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,gannonhall0sa4,Gannon Hall,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,hunternorbyccva,Hunter Norby,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,jacktheisen9dkl,Jack Theisen,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,jacobmerrillh35f,Jacob Merrill,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,jadendrillft3l,Jaden Drill,11,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,1.0,5.0,1.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,jalenvorpahl571x,Jalen Vorpahl,2,1.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,3.08,6.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,jaxonschoenrockh054,Jaxon Schoenrock,2,2.0,1.0,1.0,0.0,1.0,8.0,7.0,7.0,1.0,4.0,5.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,josmerortizaponte88x2,Josmer Ortiz Aponte,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,kaimayfield7fx4,Kai Mayfield,3,3.0,1.0,0.0,0.0,1.0,16.0,9.0,9.0,1.0,4.8,8.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,landentillquist4hsb,Landen Tillquist,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,landonguggenmosgz0t,Landon Guggenmos,1,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,levilampertlmqq,Levi Lampert,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,loganbullockttif,Logan Bullock,3,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,5.0,3.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,lucasburgumpl02,Lucas Burgum,4,3.0,0.0,1.0,0.0,1.0,17.0,14.0,12.0,0.857,5.17,9.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,lukesaulters9p7g,Luke Saulters,3,1.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,9.0,11.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,maddoxmortensen4i9o,Maddox Mortensen,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,mileswallaceo1gp,Miles Wallace,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,noahlower17il,Noah Lower,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,parkerjendrooms2,Parker Jendro,3,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,7.8,3.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,torihelgetjojr,Tori Helget,8,1.0,1.0,0.0,1.0,0.5,8.0,4.0,3.0,0.75,8.4,6.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,zachanderson066q,Zach Anderson,2,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,1.5,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,aidenwalkergxqj,Aiden Walker,9,2.0,1.0,2.0,0.0,1.0,23.0,12.0,12.0,1.0,11.790000000000001,16.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,alexkennell8m3m,Alex Kennell,8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,andrewlynch317r,Andrew Lynch,8,0.0,3.0,0.0,0.0,1.0,17.0,11.0,11.0,1.0,12.6,5.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,antoniobrunoq6gt,Antonio Bruno,8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,axelsosax4x9,Axel Sosa,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,bradygavulapk42,Brady Gavula,25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,brandondiazvalentin1b4x,Brandon Diaz-Valentin,13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,carsonbradley21ku,Carson Bradley,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,caseytomasikq1f2,Casey Tomasik,6,1.0,2.0,0.0,0.0,1.0,8.0,5.0,5.0,1.0,10.93,13.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,cesaribarraqg5i,Cesar Ibarra,23,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,christiancordovai47s,Christian Cordova,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,christiantoledoib2w,Christian Toledo,25,0.0,2.0,0.0,1.0,0.667,4.0,1.0,0.0,0.0,3.83,2.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,codyvalentineciw0,Cody Valentine,10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
