season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Dallas College - Brookhaven,dallascollegebrookhaven,22.0,3.0,20.0,1.0,161.0,246.0,240.0,200.0,141.0,142.0,19.0,0.13,11.18,51.0,2.404,13.752,1.062,7.882,7.938,1.007,13.416
2023,2022-23,Dallas College - Cedar Valley,dallascollegecedarvalley,23.0,16.0,7.0,2.0,164.3,167.0,125.0,91.0,69.0,147.0,7.0,0.696,4.985,114.0,1.436,9.148,0.383,3.78,8.052,2.13,6.847
2023,2022-23,Dallas College - Eastfield,dallascollegeeastfield,26.0,19.0,7.0,4.0,189.9,180.0,114.0,95.0,105.0,245.0,13.0,0.731,4.502,126.0,1.501,8.531,0.616,4.976,11.611,2.333,5.403
2023,2022-23,Dallas College - Mountain View,dallascollegemountainview,0.0,1.0,0.0,1.0,162.4,202.0,201.0,159.0,138.0,149.0,6.0,1.0,8.812,64.0,2.094,11.195,0.333,7.648,8.257,1.08,11.139
2023,2022-23,Dallas College - Richland,dallascollegerichland,0.0,17.0,12.0,10.0,207.0,220.0,218.0,153.0,173.0,272.0,21.0,0.586,6.652,85.0,1.899,9.565,0.913,7.522,11.826,1.572,9.478
2023,2022-23,Danville Area,danvilleareacommunitycollege,1.0,4.0,3.0,0.0,43.6,53.0,38.0,22.0,27.0,30.0,2.0,0.571,4.541,125.0,1.835,10.94,0.413,5.573,6.193,1.111,7.844
2023,2022-23,Daytona State,daytonastatecollege,24.0,13.0,12.0,5.0,179.4,232.0,160.0,128.0,103.0,193.0,15.0,0.52,6.421,88.0,1.867,11.639,0.753,5.167,9.682,1.874,8.027
2023,2022-23,Delaware Tech,delawaretechnicalcommunitycollege,18.0,13.0,5.0,3.0,117.5,113.0,87.0,69.0,81.0,122.0,8.0,0.722,5.285,107.0,1.651,8.655,0.613,6.204,9.345,1.506,6.664
2023,2022-23,Delgado,delgadocommunitycollege,23.0,20.0,4.0,8.0,153.4,156.0,89.0,74.0,59.0,155.0,13.0,0.833,4.342,131.0,1.402,9.153,0.763,3.462,9.094,2.627,5.222
2023,2022-23,Delta,deltacollege,9.0,2.0,7.0,0.0,54.6,108.0,80.0,50.0,35.0,64.0,1.0,0.222,8.242,69.0,2.619,17.802,0.165,5.769,10.549,1.829,13.187
2023,2022-23,Des Moines Area,desmoinesareacommunitycollege,19.0,11.0,8.0,7.0,112.4,130.0,103.0,82.0,80.0,124.0,11.0,0.579,6.566,86.0,1.868,10.409,0.881,6.406,9.929,1.55,8.247
