date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Feb 27,home,Boise State University Club,W,13-2,13.0,2.0,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 3,home,Western Nevada,L,13-3,13.0,3.0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 3,home,Western Nevada,L,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 4,home,Western Nevada,L,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 4,home,Western Nevada,L,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 11,home,Colorado Northwestern,L,5-1,5.0,1.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 11,home,Colorado Northwestern,W,6-5,6.0,5.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 12,home,Colorado Northwestern,L,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 12,home,Colorado Northwestern,L,5-0,5.0,0.0,5.0,win,20160312_spu1,1.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,1.0,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 18,home,Utah State Eastern,W,8-6,8.0,6.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
